Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,xG,npxG,xAG,Sh,SoT,SoT%,G/Sh,G/SoT,G-xG,Cmp%,KP,PrgP,PrgC,Tkl,TklW,Int,Clr,Touches,Carries,Succ%,Recov,Goals_per_90,Assists_per_90,Goal_Contributions_per_90,xG_per_90,xAG_per_90,Shots_per_90,Shots_on_Target_per_90,Key_Passes_per_90,Progressive_Actions_per_90,Tackles_per_90,Interceptions_per_90,Recoveries_per_90,Clearances_per_90
Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,24,1,1,54,0.6,0,0,0,0.0,0.0,0.3,0,0,,,,0.0,84.0,3,7,3,0,0,2,0,52,27,0.0,3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5.0,16.666666666666664,0.0,3.333333333333333,5.0,0.0
Giovanni Simeone,ar ARG,FW,Napoli,it Serie A,29,30,1,419,4.7,1,1,2,2.6,2.6,0.8,13,3,23.1,0.08,0.33,-1.6,69.9,8,7,11,2,0,1,6,194,110,50.0,25,0.21479713603818618,0.21479713603818618,0.42959427207637235,0.5584725536992841,0.17183770883054894,2.79236276849642,0.6443914081145585,1.7183770883054894,3.8663484486873507,0.42959427207637235,0.21479713603818618,5.369928400954653,1.288782816229117
Giuliano Simeone,ar ARG,MF,Atlético Madrid,es La Liga,21,33,26,1926,21.4,2,6,8,2.2,2.2,5.2,22,7,31.8,0.09,0.29,-0.2,75.5,24,49,69,27,13,14,22,1034,652,44.1,72,0.09345794392523364,0.2803738317757009,0.37383177570093457,0.102803738317757,0.2429906542056075,1.0280373831775702,0.3271028037383178,1.1214953271028036,5.514018691588785,1.2616822429906542,0.6542056074766356,3.364485981308411,1.0280373831775702
Moses Simon,ng NGA,"FW,MF",Nantes,fr Ligue 1,29,32,31,2609,29.0,8,10,18,5.8,2.7,6.7,40,13,32.5,0.1,0.31,2.2,62.0,56,59,147,20,14,12,13,1131,731,44.2,118,0.2759678037562285,0.34495975469528556,0.6209275584515139,0.2000766577232656,0.23112303564584133,1.3798390187811422,0.44844768110387123,1.931774626293599,7.106170946722882,0.6899195093905711,0.41395170563434264,4.07052510540437,0.44844768110387123
Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,21,25,25,2150,23.9,10,6,16,5.1,5.1,6.3,50,23,46.0,0.2,0.43,4.9,78.6,51,140,85,28,21,12,19,1557,869,33.0,128,0.41860465116279066,0.25116279069767444,0.6697674418604651,0.21348837209302327,0.2637209302325581,2.0930232558139537,0.9627906976744186,2.1348837209302327,9.418604651162791,1.172093023255814,0.5023255813953489,5.358139534883721,0.7953488372093024
Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,eng Premier League,18,2,1,96,1.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,93.0,0,3,1,1,0,0,2,123,79,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.9375,0.0,2.8125,1.875
Danel Sinani,lu LUX,"FW,MF",St. Pauli,de Bundesliga,27,26,14,1250,13.9,2,2,4,1.7,1.7,3.0,35,12,34.3,0.06,0.17,0.3,71.4,24,60,16,14,11,1,13,693,297,45.5,52,0.14400000000000002,0.14400000000000002,0.28800000000000003,0.1224,0.21599999999999997,2.52,0.8639999999999999,1.7279999999999998,5.472,1.008,0.07200000000000001,3.7439999999999998,0.9359999999999999
Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,fr Ligue 1,24,34,25,2299,25.5,5,8,13,6.5,5.7,5.5,60,16,26.7,0.07,0.25,-1.5,76.7,37,62,53,33,20,13,38,993,576,38.4,76,0.19573727707699,0.313179643323184,0.508916920400174,0.254458460200087,0.21531100478468898,2.34884732492388,0.626359286646368,1.448455850369726,4.50195737277077,1.291866028708134,0.508916920400174,2.975206611570248,1.487603305785124
Wilfried Singo,ci CIV,DF,Monaco,fr Ligue 1,23,27,23,2096,23.3,1,2,3,1.9,1.9,1.5,17,5,29.4,0.06,0.2,-0.9,86.2,7,118,35,37,23,43,110,1703,951,46.2,138,0.04293893129770992,0.08587786259541984,0.12881679389312978,0.08158396946564886,0.06440839694656489,0.7299618320610687,0.21469465648854963,0.3005725190839695,6.569656488549619,1.5887404580152673,1.8463740458015268,5.925572519083969,4.723282442748092
Luis Sinisterra,co COL,"FW,MF",Bournemouth,eng Premier League,25,12,1,236,2.6,1,1,2,1.2,1.2,1.4,13,6,46.2,0.08,0.17,-0.2,78.5,9,6,19,7,2,1,8,155,95,40.0,17,0.3813559322033898,0.3813559322033898,0.7627118644067796,0.45762711864406774,0.5338983050847457,4.9576271186440675,2.288135593220339,3.4322033898305087,9.533898305084746,2.669491525423729,0.3813559322033898,6.483050847457627,3.0508474576271185
