Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,xG,npxG,xAG,Sh,SoT,SoT%,G/Sh,G/SoT,G-xG,Cmp%,KP,PrgP,PrgC,Tkl,TklW,Int,Clr,Touches,Carries,Succ%,Recov
Adam Aznou,ma MAR,DF,Valladolid,es La Liga,18,13,10,876,9.7,0,0,0,0.3,0.3,0.3,4,1,25.0,0.0,0.0,-0.3,71.4,6,25,16,28,21,10,30,508,219,46.3,56
Adam Aznou,ma MAR,DF,Bayern Munich,de Bundesliga,18,2,0,17,0.2,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,76.5,0,1,0,0,0,0,1,18,12,,1
César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34,14,10,875,9.7,1,0,1,0.2,0.2,0.1,5,2,40.0,0.2,0.5,0.8,86.6,3,66,13,25,14,5,32,759,432,50.0,28
Paulo Azzi,br BRA,DF,Cagliari,it Serie A,30,6,5,426,4.7,0,0,0,0.5,0.5,0.9,8,3,37.5,0.0,0.0,-0.5,70.0,5,13,15,11,9,5,11,242,119,61.5,24
Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,23,2,0,19,0.2,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,94.4,0,4,0,0,0,2,0,20,14,,1
Papa Ba,es ESP,MF,Girona,es La Liga,19,1,0,48,0.5,0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,,0.0,38.5,0,0,1,1,1,0,1,20,9,50.0,1
Shavy Babicka,ga GAB,"MF,FW",Toulouse,fr Ligue 1,24,30,11,1186,13.2,4,2,6,3.9,3.9,1.6,20,9,45.0,0.2,0.44,0.1,67.1,13,21,36,21,12,3,4,428,273,29.7,54
Jacopo Bacci,it ITA,MF,Empoli,it Serie A,19,3,0,31,0.3,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,54.5,0,1,0,1,0,1,1,14,5,,0
Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,de Bundesliga,21,5,0,91,1.0,0,0,0,0.2,0.2,0.2,4,1,25.0,0.0,0.0,-0.2,55.0,2,1,2,1,1,0,0,43,30,22.2,3
Loïc Bade,fr FRA,DF,Sevilla,es La Liga,24,32,31,2686,29.8,1,1,2,0.6,0.6,0.7,13,4,30.8,0.08,0.25,0.4,85.7,4,62,11,47,27,29,162,2135,1173,77.3,138
Milan Badelj,hr CRO,MF,Genoa,it Serie A,35,23,21,1472,16.4,1,0,1,1.0,1.0,1.1,14,2,14.3,0.07,0.5,0.0,81.5,12,83,8,29,16,20,43,1014,499,45.0,74
Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,23,5,3,334,3.7,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,89.8,0,17,3,9,6,6,12,336,177,0.0,18
Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,23,32,30,2595,28.8,7,9,16,7.1,6.3,11.7,69,17,24.6,0.1,0.41,-0.1,66.6,95,189,91,28,15,22,22,1569,895,37.5,140
Juma Bah,sl SLE,DF,Valladolid,es La Liga,18,12,10,864,9.6,0,0,0,0.3,0.3,0.0,3,1,33.3,0.0,0.0,-0.3,81.1,1,13,0,10,7,12,60,523,265,75.0,35
Juma Bah,sl SLE,DF,Lens,fr Ligue 1,18,10,8,686,7.6,0,0,0,0.1,0.1,0.2,2,1,50.0,0.0,0.0,-0.1,93.4,2,9,3,16,10,17,47,480,265,100.0,37
Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,26,24,14,1139,12.7,1,2,3,1.7,1.7,1.5,28,6,21.4,0.04,0.17,-0.7,71.0,16,35,58,7,5,3,12,545,348,38.6,59
Eric Bailly,ci CIV,DF,Villarreal,es La Liga,30,12,8,617,6.9,0,0,0,0.3,0.3,0.0,4,0,0.0,0.0,,-0.3,87.5,0,18,1,12,4,6,29,394,200,100.0,19
Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,24,29,11,939,10.4,2,1,3,3.0,3.0,1.2,26,13,50.0,0.08,0.15,-1.0,62.0,10,16,15,4,3,3,10,306,143,25.0,15
Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,es La Liga,19,14,12,969,10.8,1,0,1,0.3,0.3,0.2,5,2,40.0,0.2,0.5,0.7,71.8,7,39,8,29,14,15,26,570,238,45.8,61
Cédric Bakambu,cd COD,FW,Betis,es La Liga,33,25,6,710,7.9,2,2,4,3.2,3.2,0.6,24,11,45.8,0.08,0.18,-1.2,66.7,8,14,9,6,4,0,5,226,113,14.3,25
Mitchel Bakker,nl NED,MF,Atalanta,it Serie A,24,1,0,22,0.2,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,77.8,0,1,0,1,0,0,0,10,6,,2
Mitchel Bakker,nl NED,"FW,DF",Lille,fr Ligue 1,24,24,14,1139,12.7,3,2,5,3.0,3.0,2.7,23,10,43.5,0.13,0.3,0.0,77.8,23,57,43,23,13,12,15,758,439,52.4,46
Darryl Bakola,fr FRA,"DF,MF",Marseille,fr Ligue 1,16,2,0,14,0.2,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,92.3,0,0,0,1,1,0,0,15,9,0.0,1
Ridle Baku,de GER,"FW,MF",Wolfsburg,de Bundesliga,26,15,14,1170,13.0,2,1,3,1.5,1.5,1.3,18,6,33.3,0.11,0.33,0.5,74.1,13,44,16,23,15,15,15,646,352,45.0,68
Ridle Baku,de GER,"DF,MF",RB Leipzig,de Bundesliga,26,19,15,1275,14.2,2,3,5,1.4,1.4,1.5,17,5,29.4,0.12,0.4,0.6,75.2,14,41,21,24,19,9,45,796,383,66.7,45
Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,21,30,29,2497,27.7,6,8,14,4.7,4.7,6.6,52,22,42.3,0.12,0.27,1.3,72.9,47,129,107,26,14,15,27,1420,890,39.4,92
Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,21,31,5,832,9.2,1,1,2,1.4,1.4,1.0,20,4,20.0,0.05,0.25,-0.4,84.0,10,23,39,12,4,6,8,472,292,43.6,48
Alejandro Balde,es ESP,DF,Barcelona,es La Liga,20,32,26,2284,25.4,0,4,4,0.5,0.5,3.4,12,3,25.0,0.0,0.0,-0.5,88.0,26,93,107,18,10,5,27,1721,1075,41.8,122
Keita Baldé,sn SEN,FW,Monza,it Serie A,29,11,8,638,7.1,2,0,2,1.1,1.1,0.2,14,5,35.7,0.14,0.4,0.9,89.2,4,35,19,1,1,2,0,289,216,31.3,12
Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,20,34,31,2661,29.6,3,1,4,3.1,3.1,1.3,44,11,25.0,0.07,0.27,-0.1,87.4,21,118,43,79,46,46,44,1697,971,57.9,197
Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,25,27,27,2273,25.3,0,0,0,0.9,0.9,0.7,15,1,6.7,0.0,0.0,-0.9,93.8,8,105,13,54,39,38,72,2767,1752,68.8,161
Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,32,25,12,1200,13.3,0,0,0,0.0,0.0,0.5,1,0,0.0,0.0,,0.0,75.8,7,46,8,17,14,13,39,762,326,50.0,39
Fodé Ballo-Touré,sn SEN,"DF,MF",Le Havre,fr Ligue 1,27,10,9,589,6.5,0,0,0,0.0,0.0,0.1,0,0,,,,0.0,83.3,1,13,15,8,7,4,27,377,163,35.7,31
Botond Balogh,hu HUN,DF,Parma,it Serie A,22,29,23,2053,22.8,0,1,1,0.4,0.4,0.1,3,0,0.0,0.0,,-0.4,89.3,2,37,7,36,16,25,141,1228,621,,64
Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,23,13,7,615,6.8,4,0,4,4.8,4.8,0.9,31,10,32.3,0.13,0.4,-0.8,68.0,6,9,21,1,1,1,0,220,143,22.2,15
Mario Balotelli,it ITA,"FW,MF",Genoa,it Serie A,33,6,0,62,0.7,0,0,0,0.0,0.0,0.0,2,0,0.0,0.0,,0.0,26.7,0,1,0,0,0,0,1,23,10,,1
Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,34,19,16,1510,16.8,0,0,0,0.1,0.1,0.3,1,0,0.0,0.0,,-0.1,88.5,6,16,1,22,12,19,79,743,408,100.0,47
Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,es La Liga,28,12,10,811,9.0,0,1,1,0.8,0.8,1.8,13,6,46.2,0.0,0.0,-0.8,78.8,12,30,31,12,7,5,6,468,307,39.5,52
Mohamed Bamba,ci CIV,MF,Reims,fr Ligue 1,19,2,0,10,0.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,84.2,0,3,0,0,0,0,1,22,14,,0
Samuel Bamba,de GER,"FW,MF",Bochum,de Bundesliga,20,5,0,27,0.3,0,0,0,0.1,0.1,0.0,2,1,50.0,0.0,0.0,-0.1,77.3,1,5,3,1,1,0,0,31,20,25.0,2
Lameck Banda,zm ZAM,"FW,MF",Lecce,it Serie A,23,15,6,610,6.8,0,1,1,1.2,1.2,1.1,17,4,23.5,0.0,0.0,-1.2,77.2,11,7,27,8,5,2,8,252,169,35.7,30
Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,24,11,4,407,4.5,0,0,0,0.0,0.0,0.1,2,1,50.0,0.0,0.0,0.0,82.6,3,25,1,4,0,6,8,266,148,100.0,36
Mattia Bani,it ITA,DF,Genoa,it Serie A,30,20,19,1507,16.7,0,0,0,1.2,1.2,0.2,8,3,37.5,0.0,0.0,-1.2,87.4,2,25,6,19,10,22,85,1048,558,40.0,60
Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,17,8,2,278,3.1,0,0,0,0.1,0.1,0.0,1,0,0.0,0.0,,-0.1,92.9,0,8,2,11,5,5,28,229,123,0.0,13
Scott Banks,sct SCO,"FW,MF",St. Pauli,de Bundesliga,22,12,0,116,1.3,0,0,0,0.3,0.3,0.0,3,0,0.0,0.0,,-0.3,63.6,0,1,3,1,1,2,2,48,24,28.6,4
Adrian Baquerin,es ESP,FW,Valladolid,es La Liga,17,5,0,49,0.5,0,0,0,0.4,0.4,0.0,3,0,0.0,0.0,,-0.4,90.0,0,1,0,1,1,0,1,18,10,0.0,1
